Candidate, "Poll No.", Votes

Ashe, 001, 93
Carvalho, 001, 4
Dickson, 001, 54
Thavarajasoorier, 001, 10
Willert, 001, 20

Ashe, 002, 100
Carvalho, 002, 2
Dickson, 002, 76
Thavarajasoorier, 002, 6
Willert, 002, 51

Ashe, 003, 46
Carvalho, 003, 7
Dickson, 003, 37
Thavarajasoorier, 003, 9
Willert, 003, 15

Ashe, 004, 110
Carvalho, 004, 0
Dickson, 004, 54
Thavarajasoorier, 004, 4
Willert, 004, 26

Ashe, 005, 76
Carvalho, 005, 3
Dickson, 005, 54
Thavarajasoorier, 005, 15
Willert, 005, 31

None, 006, "NO POLL HELD"

Ashe, 007, 51
Carvalho, 007, 2
Dickson, 007, 35
Thavarajasoorier, 007, 10
Willert, 007, 33

Ashe, 008, 53
Carvalho, 008, 0
Dickson, 008, 25
Thavarajasoorier, 008, 4
Willert, 008, 17

Ashe,  009, 110
Carvalho, 009, 4
Dickson, 009, 82
Thavarajasoorier, 009, 4
Willert, 009, 14

None, 010, "NO POLL HELD"

Ashe, 011, 61
Carvalho, 011, 1
Dickson, 011, 95
Thavarajasoorier, 011, 18
Willert, 011, 10

Ashe, 012, 36
Carvalho, 012, 0
Dickson, 012, 40
Thavarajasoorier, 012, 4
Willert, 012, 9

None, 013, "NO POLL HELD"

Ashe, 014, 41
Carvalho, 014, 0
Dickson, 014, 114
Thavarajasoorier, 014, 11
Willert, 014, 10

Ashe, 015, 61
Carvalho, 015, 0
Dickson, 015, 104
Thavarajasoorier, 015, 15
Willert, 015, 9

Ashe, 016, 34
Carvalho, 016, 0
Dickson, 016, 54
Thavarajasoorier, 016, 9
Willert, 016, 5

Ashe, 017A, 29
Carvalho, 017A, 1
Dickson, 017A, 69
Thavarajasoorier, 017A, 10
Willert, 017A, 6

Ashe, 017B, 27
Carvalho, 017B, 0
Dickson, 017B, 75
Thavarajasoorier, 017B, 12
Willert, 017B, 5

Ashe, 018A, 56
Carvalho, 018A, 1
Dickson, 018A, 75
Thavarajasoorier, 018A, 14
Willert, 018A, 6

Ashe, 018B, 41 , , 0 74 , 7 , 8
Carvalho, 018B, 41 , , 0 74 , 7 , 8
Dickson, 018B, 41 , , 0 74 , 7 , 8
Thavarajasoorier, 018B, 41 , , 0 74 , 7 , 8
Willert, 018B, 41 , , 0 74 , 7 , 8

Ashe, 018C, 42 , , 5 125 , 13 , 3
Carvalho, 018C, 42 , , 5 125 , 13 , 3
Dickson, 018C, 42 , , 5 125 , 13 , 3
Thavarajasoorier, 018C, 42 , , 5 125 , 13 , 3
Willert, 018C, 42 , , 5 125 , 13 , 3

Ashe, 019, 50 , , 1 99 , 16 , 9
